date,mode,count
2022-08-17,AAR,25904
2022-08-18,AAR,25701
2022-08-19,AAR,24141
2022-08-20,AAR,15903
2022-08-21,AAR,14617
2022-08-22,AAR,21887
2022-08-23,AAR,24448
2022-08-24,AAR,25654
2022-08-25,AAR,24964
2022-08-26,AAR,23417
2022-08-27,AAR,15575
2022-08-28,AAR,14506
2022-08-29,AAR,22503
2022-08-30,AAR,24300
2022-08-31,AAR,25541
2022-09-01,AAR,25382
2022-09-02,AAR,24696
2022-09-03,AAR,15863
2022-09-04,AAR,15428
2022-09-05,AAR,9722
2022-09-06,AAR,24963
2022-09-07,AAR,26773
2022-09-08,AAR,27121
2022-09-09,AAR,25627
2022-09-10,AAR,15345
2022-09-11,AAR,14467
2022-09-12,AAR,24947
2022-09-13,AAR,26317
2022-09-14,AAR,28124
2022-09-15,AAR,27391
2022-09-16,AAR,26025
2022-09-17,AAR,15828
2022-09-18,AAR,15588
2022-09-19,AAR,24491
2022-09-20,AAR,26148
2022-09-21,AAR,27479
2022-09-22,AAR,26136
2022-09-23,AAR,25738
2022-09-24,AAR,15593
2022-09-25,AAR,14770
2022-09-26,AAR,21532
2022-09-27,AAR,24344
2022-09-28,AAR,27423
2022-09-29,AAR,26857
2022-09-30,AAR,26614
2022-10-01,AAR,13718
2022-10-02,AAR,13897
2022-10-03,AAR,25390
2022-10-04,AAR,25282
2022-10-05,AAR,24305
2022-10-06,AAR,28527
2022-10-07,AAR,26725
2022-10-08,AAR,15448
2022-10-09,AAR,14776
2022-10-10,AAR,17806
2022-10-11,AAR,26435
2022-10-12,AAR,28193
2022-10-13,AAR,26422
2022-10-14,AAR,26877
2022-10-15,AAR,15945
2022-10-16,AAR,15338
2022-10-17,AAR,24045
2022-10-18,AAR,26135
2022-10-19,AAR,28002
2022-10-20,AAR,27649
2022-10-21,AAR,26385
2022-10-22,AAR,15832
2022-10-23,AAR,14434
2022-10-24,AAR,24643
2022-10-25,AAR,27080
2022-10-26,AAR,27891
2022-10-27,AAR,28035
2022-10-28,AAR,26237
2022-10-29,AAR,15778
2022-10-30,AAR,15324
2022-10-31,AAR,24178
2022-11-01,AAR,26993
2022-11-02,AAR,28493
2022-11-03,AAR,28364
2022-11-04,AAR,27340
2022-11-05,AAR,16790
2022-11-06,AAR,13926
2022-11-07,AAR,26193
2022-11-08,AAR,25939
2022-11-09,AAR,28589
2022-11-10,AAR,28385
2022-11-11,AAR,20634
2022-11-12,AAR,15153
2022-11-13,AAR,15544
2022-11-14,AAR,25728
2022-11-15,AAR,28155
2022-11-16,AAR,28574
2022-11-17,AAR,28778
2022-11-18,AAR,27236
2022-11-19,AAR,16076
2022-11-20,AAR,15556
2022-11-21,AAR,25766
2022-11-22,AAR,27957
2022-11-23,AAR,25032
2022-11-24,AAR,18369
2022-11-25,AAR,12834
2022-11-26,AAR,12576
2022-11-27,AAR,13063
2022-11-28,AAR,24969
2022-11-29,AAR,27009
2022-11-30,AAR,26469
2022-12-01,AAR,27018
2022-12-02,AAR,27007
2022-12-03,AAR,15540
2022-12-04,AAR,15763
2022-12-05,AAR,26409
2022-12-06,AAR,27305
2022-12-07,AAR,27941
2022-12-08,AAR,28292
2022-12-09,AAR,26213
2022-12-10,AAR,16232
2022-12-11,AAR,14949
2022-12-12,AAR,25771
2022-12-13,AAR,28234
2022-12-14,AAR,29081
2022-12-15,AAR,27034
2022-12-16,AAR,24074
2022-12-17,AAR,16788
2022-12-18,AAR,16036
2022-12-19,AAR,25529
2022-12-20,AAR,27148
2022-12-21,AAR,28480
2022-12-22,AAR,25244
2022-12-23,AAR,20359
2022-12-24,AAR,12759
2022-12-25,AAR,13709
2022-12-26,AAR,9327
