band,real_pre_mean_per_day,real_post_mean_per_day,real_pct,real_ci_lo,real_ci_hi,placebo_pct,placebo_ci_lo,placebo_ci_hi,did_pct,did_ci_lo,did_ci_hi,n_days_real_pre,n_days_real_post
0–1 mi,18594.930131004367,21106.110864745013,13.57824762886084,10.422060316908993,16.59231159871003,6.79617307661439,3.367098908891022,10.197197130769023,6.745248283341644,1.7230178661129814,11.527752440750952,458,451
1–3 mi,15819.109170305677,19486.685144124167,23.15735535810703,20.045536709011,26.391569210197588,10.069674118512612,6.743069618328877,13.608787307419554,13.058403352957125,8.261323596187438,17.668202251842626,458,451
3–5 mi,1612.8842794759826,3823.070953436807,137.26361930460163,129.01627193347875,145.7344870164307,44.16050929337282,39.90522209489431,48.317316128155895,92.88922179057698,83.96717506167796,102.00852188095625,458,451
5+ mi,1187.8187772925764,3741.458980044346,215.00381443955555,203.00077526076194,227.27661672854384,97.29103231844614,89.82659263495623,105.41929682455535,117.30486873060877,102.93517852146717,131.5212927340845,458,451
Inside cordon,65358.55021834061,74219.51662971175,13.549568500173903,10.689834710126297,16.351385471859942,7.251124607172386,4.304243360237444,10.303486338173308,6.389439764756278,2.1455539327996513,10.462671394231258,458,451
